Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510297994	113.93636799999999	22.535014	380	415	-0.21161048	-0.077719435	9.794863000000001	2017/11/10 15:13	493400.9375	2493102.25	493380.6909764183	2493144.2160288175	3
1510297995	113.93636799999999	22.535014	380	415	-0.20755877	-0.06961599	9.780128999999999	2017/11/10 15:13	493400.9375	2493102.25	493380.5342652129	2493144.0368155837	3
1510297996	113.93636799999999	22.535014	380	415	-0.20449288	-0.07210769	9.788435	2017/11/10 15:13	493400.9375	2493102.25	493380.33223251905	2493143.814421365	3
1510297997	113.93636799999999	22.535014	380	415	-0.20411733	-0.08318674	9.788813000000001	2017/11/10 15:13	493400.9375	2493102.25	493380.3374922666	2493143.801256476	3
1510297998	113.93636799999999	22.535014	380	415	-0.20590124	-0.07698277	9.789889	2017/11/10 15:13	493400.9375	2493102.25	493380.47495210636	2493143.9220443214	3
1510297999	113.93636799999999	22.535014	380	415	-0.20637070000000005	-0.07736554	9.787685	2017/11/10 15:13	493400.9375	2493102.25	493380.42085492867	2493143.852861072	3
1510298000	113.93636799999999	22.535014	380	415	-0.20543179	-0.07623886	9.789749	2017/11/10 15:13	493400.9375	2493102.25	493380.62790510734	2493144.04626024	3
1510298001	113.93636799999999	22.535014	380	415	-0.2097688	-0.08085032	9.766134	2017/11/10 15:13	493400.9375	2493102.25	493380.6403332076	2493144.0463358806	3
1510298002	113.93636799999999	22.535014	380	415	-0.20280287	-0.073985495	9.793505999999999	2017/11/10 15:13	493400.9375	2493102.25	493380.62586006435	2493144.020685305	3
1510298003	113.93636799999999	22.535014	380	415	-0.20693403	-0.07868001	9.779423	2017/11/10 15:13	493400.9375	2493102.25	493380.6225166135	2493144.0072276737	3
1510298004	113.93636799999999	22.535014	380	415	-0.1986717	-0.07586330000000001	9.789937	2017/11/10 15:13	493400.9375	2493102.25	493380.52872456715	2493143.904283558	3
1510298005	113.93636799999999	22.535014	380	415	-0.20166534	-0.079192795	9.779947	2017/11/10 15:13	493400.9375	2493102.25	493380.5868092586	2493143.95408677	3
1510298006	113.93636799999999	22.535014	380	415	-0.2082485	-0.07360993	9.78036	2017/11/10 15:13	493400.9375	2493102.25	493380.63570908905	2493143.9954928956	3
1510298007	113.93636799999999	22.535014	380	415	-0.20543179	-0.07999447	9.77792	2017/11/10 15:13	493400.9375	2493102.25	493380.64042916236	2493143.9934321023	3
1510298008	113.93636799999999	22.535014	380	415	-0.20881183	-0.07323438	9.780549	2017/11/10 15:13	493400.9375	2493102.25	493380.7400776889	2493144.086944792	3
1510298009	113.93636799999999	22.535014	380	415	-0.20424372	-0.079008624	9.772210000000001	2017/11/10 15:13	493400.9375	2493102.25	493380.85259420436	2493144.1939091412	3
1510298010	113.93636799999999	22.535014	380	415	-0.20392954	-0.07022989	9.775667	2017/11/10 15:13	493400.9375	2493102.25	493380.92049985	2493144.25679077	3
1510298011	113.93636799999999	22.535014	380	415	-0.20618291	-0.0739855	9.783555	2017/11/10 15:13	493400.9375	2493102.25	493380.7353747947	2493144.0671196072	3
1510298012	113.93636799999999	22.535014	380	415	-0.20056033	-0.07569358	9.780866	2017/11/10 15:13	493400.9375	2493102.25	493380.58599313773	2493143.913624291	3
1510298013	113.93636799999999	22.535014	380	415	-0.20130062	-0.07680221	9.783927	2017/11/10 15:13	493400.9375	2493102.25	493380.573072103	2493143.8969809082	3
1510298014	113.93636799999999	22.535014	380	415	-0.20299065	-0.075675525	9.779423	2017/11/10 15:13	493400.9375	2493102.25	493380.60892103147	2493143.929461577	3
1510298015	113.93636799999999	22.535014	380	415	-0.20411733	-0.075299956	9.78374	2017/11/10 15:13	493400.9375	2493102.25	493380.7966018091	2493144.1140945	3
